ID;benchmarkPhase;streamNumber;queryNumber;epochStartTimestamp;epochEndTimestamp;humanReadableStartTime;humanReadableEndTime;durationInMilliseconds;durationInSeconds;humanReadableDuration;queryType;successful;
15;ENGINE_VALIDATION_POWER_TEST;0;9;1631183153622;1631183209708;2021-09-09 15:55:53.622;2021-09-09 15:56:49.708;56086;56.086;0h:00m:56s:086ms;structured;true;
16;ENGINE_VALIDATION_POWER_TEST;0;10;1631183209709;1631183350894;2021-09-09 15:56:49.709;2021-09-09 15:59:10.894;141185;141.185;0h:02m:21s:185ms;unstructured;true;
17;ENGINE_VALIDATION_POWER_TEST;0;11;1631183350897;1631183462148;2021-09-09 15:59:10.897;2021-09-09 16:01:02.148;111251;111.251;0h:01m:51s:251ms;structured;true;
18;ENGINE_VALIDATION_POWER_TEST;0;12;1631183462149;1631183593946;2021-09-09 16:01:02.149;2021-09-09 16:03:13.946;131797;131.797;0h:02m:11s:797ms;semi-structured;true;
19;ENGINE_VALIDATION_POWER_TEST;0;13;1631183593947;1631183737516;2021-09-09 16:03:13.947;2021-09-09 16:05:37.516;143569;143.569;0h:02m:23s:569ms;structured;true;
20;ENGINE_VALIDATION_POWER_TEST;0;14;1631183737517;1631183793074;2021-09-09 16:05:37.517;2021-09-09 16:06:33.074;55557;55.557;0h:00m:55s:557ms;structured;true;
21;ENGINE_VALIDATION_POWER_TEST;0;15;1631183793075;1631183870435;2021-09-09 16:06:33.075;2021-09-09 16:07:50.435;77360;77.360;0h:01m:17s:360ms;structured;true;
22;ENGINE_VALIDATION_POWER_TEST;0;16;1631183870437;1631183966059;2021-09-09 16:07:50.437;2021-09-09 16:09:26.059;95622;95.622;0h:01m:35s:622ms;structured;true;
23;ENGINE_VALIDATION_POWER_TEST;0;17;1631183966060;1631183986982;2021-09-09 16:09:26.060;2021-09-09 16:09:46.982;20922;20.922;0h:00m:20s:922ms;structured;false;
24;ENGINE_VALIDATION_POWER_TEST;0;18;1631183986983;1631184007774;2021-09-09 16:09:46.983;2021-09-09 16:10:07.774;20791;20.791;0h:00m:20s:791ms;unstructured;false;
25;ENGINE_VALIDATION_POWER_TEST;0;19;1631184007775;1631184154146;2021-09-09 16:10:07.775;2021-09-09 16:12:34.146;146371;146.371;0h:02m:26s:371ms;unstructured;true;
26;ENGINE_VALIDATION_POWER_TEST;0;20;1631184154147;1631184265766;2021-09-09 16:12:34.147;2021-09-09 16:14:25.766;111619;111.619;0h:01m:51s:619ms;structured;false;
27;ENGINE_VALIDATION_POWER_TEST;0;21;1631184265767;1631184486257;2021-09-09 16:14:25.767;2021-09-09 16:18:06.257;220490;220.490;0h:03m:40s:490ms;structured;true;
28;ENGINE_VALIDATION_POWER_TEST;0;22;1631184486258;1631184583135;2021-09-09 16:18:06.258;2021-09-09 16:19:43.135;96877;96.877;0h:01m:36s:877ms;structured;true;
29;ENGINE_VALIDATION_POWER_TEST;0;23;1631184583135;1631184603801;2021-09-09 16:19:43.135;2021-09-09 16:20:03.801;20666;20.666;0h:00m:20s:666ms;structured;false;
30;ENGINE_VALIDATION_POWER_TEST;0;24;1631184603802;1631184771650;2021-09-09 16:20:03.802;2021-09-09 16:22:51.650;167848;167.848;0h:02m:47s:848ms;structured;true;
31;ENGINE_VALIDATION_POWER_TEST;0;25;1631184771651;1631184943669;2021-09-09 16:22:51.651;2021-09-09 16:25:43.669;172018;172.018;0h:02m:52s:018ms;structured;false;
32;ENGINE_VALIDATION_POWER_TEST;0;26;1631184943670;1631185018579;2021-09-09 16:25:43.670;2021-09-09 16:26:58.579;74909;74.909;0h:01m:14s:909ms;structured;false;
33;ENGINE_VALIDATION_POWER_TEST;0;27;1631185018579;1631185074480;2021-09-09 16:26:58.579;2021-09-09 16:27:54.480;55901;55.901;0h:00m:55s:901ms;unstructured;true;
34;ENGINE_VALIDATION_POWER_TEST;0;28;1631185074481;1631185139096;2021-09-09 16:27:54.481;2021-09-09 16:28:59.096;64615;64.615;0h:01m:04s:615ms;unstructured;false;
35;ENGINE_VALIDATION_POWER_TEST;0;29;1631185139097;1631185254291;2021-09-09 16:28:59.097;2021-09-09 16:30:54.291;115194;115.194;0h:01m:55s:194ms;structured;true;
36;ENGINE_VALIDATION_POWER_TEST;0;30;1631185254292;1631185338277;2021-09-09 16:30:54.292;2021-09-09 16:32:18.277;83985;83.985;0h:01m:23s:985ms;semi-structured;false;
37;ENGINE_VALIDATION_RESULT_VALIDATION;;;1631185338312;1631185382490;2021-09-09 16:32:18.312;2021-09-09 16:33:02.490;44178;44.178;0h:00m:44s:178ms;;false;
38;ENGINE_VALIDATION_RESULT_VALIDATION;0;;1631185338312;1631185382490;2021-09-09 16:32:18.312;2021-09-09 16:33:02.490;44178;44.178;0h:00m:44s:178ms;;false;
39;ENGINE_VALIDATION_RESULT_VALIDATION;0;1;1631185338313;1631185339823;2021-09-09 16:32:18.313;2021-09-09 16:32:19.823;1510;1.510;0h:00m:01s:510ms;structured;true;
40;ENGINE_VALIDATION_RESULT_VALIDATION;0;2;1631185339824;1631185341205;2021-09-09 16:32:19.824;2021-09-09 16:32:21.205;1381;1.381;0h:00m:01s:381ms;semi-structured;false;
41;ENGINE_VALIDATION_RESULT_VALIDATION;0;3;1631185341206;1631185342591;2021-09-09 16:32:21.206;2021-09-09 16:32:22.591;1385;1.385;0h:00m:01s:385ms;semi-structured;false;
42;ENGINE_VALIDATION_RESULT_VALIDATION;0;4;1631185342593;1631185343975;2021-09-09 16:32:22.593;2021-09-09 16:32:23.975;1382;1.382;0h:00m:01s:382ms;semi-structured;false;
43;ENGINE_VALIDATION_RESULT_VALIDATION;0;5;1631185343975;1631185345363;2021-09-09 16:32:23.975;2021-09-09 16:32:25.363;1388;1.388;0h:00m:01s:388ms;semi-structured;false;
44;ENGINE_VALIDATION_RESULT_VALIDATION;0;6;1631185345363;1631185346950;2021-09-09 16:32:25.363;2021-09-09 16:32:26.950;1587;1.587;0h:00m:01s:587ms;structured;false;
45;ENGINE_VALIDATION_RESULT_VALIDATION;0;7;1631185346950;1631185348503;2021-09-09 16:32:26.950;2021-09-09 16:32:28.503;1553;1.553;0h:00m:01s:553ms;structured;true;
46;ENGINE_VALIDATION_RESULT_VALIDATION;0;8;1631185348504;1631185349885;2021-09-09 16:32:28.504;2021-09-09 16:32:29.885;1381;1.381;0h:00m:01s:381ms;semi-structured;false;
47;ENGINE_VALIDATION_RESULT_VALIDATION;0;9;1631185349886;1631185351450;2021-09-09 16:32:29.886;2021-09-09 16:32:31.450;1564;1.564;0h:00m:01s:564ms;structured;true;
48;ENGINE_VALIDATION_RESULT_VALIDATION;0;10;1631185351452;1631185353222;2021-09-09 16:32:31.452;2021-09-09 16:32:33.222;1770;1.770;0h:00m:01s:770ms;unstructured;true;
49;ENGINE_VALIDATION_RESULT_VALIDATION;0;11;1631185353223;1631185354717;2021-09-09 16:32:33.223;2021-09-09 16:32:34.717;1494;1.494;0h:00m:01s:494ms;structured;true;
50;ENGINE_VALIDATION_RESULT_VALIDATION;0;12;1631185354717;1631185356226;2021-09-09 16:32:34.717;2021-09-09 16:32:36.226;1509;1.509;0h:00m:01s:509ms;semi-structured;true;
51;ENGINE_VALIDATION_RESULT_VALIDATION;0;13;1631185356227;1631185357727;2021-09-09 16:32:36.227;2021-09-09 16:32:37.727;1500;1.500;0h:00m:01s:500ms;structured;false;
52;ENGINE_VALIDATION_RESULT_VALIDATION;0;14;1631185357727;1631185359260;2021-09-09 16:32:37.727;2021-09-09 16:32:39.260;1533;1.533;0h:00m:01s:533ms;structured;true;
53;ENGINE_VALIDATION_RESULT_VALIDATION;0;15;1631185359260;1631185360754;2021-09-09 16:32:39.260;2021-09-09 16:32:40.754;1494;1.494;0h:00m:01s:494ms;structured;false;
54;ENGINE_VALIDATION_RESULT_VALIDATION;0;16;1631185360754;1631185362258;2021-09-09 16:32:40.754;2021-09-09 16:32:42.258;1504;1.504;0h:00m:01s:504ms;structured;false;
55;ENGINE_VALIDATION_RESULT_VALIDATION;0;17;1631185362258;1631185363646;2021-09-09 16:32:42.258;2021-09-09 16:32:43.646;1388;1.388;0h:00m:01s:388ms;structured;false;
56;ENGINE_VALIDATION_RESULT_VALIDATION;0;18;1631185363647;1631185365044;2021-09-09 16:32:43.647;2021-09-09 16:32:45.044;1397;1.397;0h:00m:01s:397ms;unstructured;false;
57;ENGINE_VALIDATION_RESULT_VALIDATION;0;19;1631185365046;1631185366563;2021-09-09 16:32:45.046;2021-09-09 16:32:46.563;1517;1.517;0h:00m:01s:517ms;unstructured;true;
58;ENGINE_VALIDATION_RESULT_VALIDATION;0;20;1631185366564;1631185367974;2021-09-09 16:32:46.564;2021-09-09 16:32:47.974;1410;1.410;0h:00m:01s:410ms;structured;false;
59;ENGINE_VALIDATION_RESULT_VALIDATION;0;21;1631185367974;1631185369499;2021-09-09 16:32:47.974;2021-09-09 16:32:49.499;1525;1.525;0h:00m:01s:525ms;structured;true;
60;ENGINE_VALIDATION_RESULT_VALIDATION;0;22;1631185369500;1631185371013;2021-09-09 16:32:49.500;2021-09-09 16:32:51.013;1513;1.513;0h:00m:01s:513ms;structured;true;
61;ENGINE_VALIDATION_RESULT_VALIDATION;0;23;1631185371013;1631185372403;2021-09-09 16:32:51.013;2021-09-09 16:32:52.403;1390;1.390;0h:00m:01s:390ms;structured;false;
62;ENGINE_VALIDATION_RESULT_VALIDATION;0;24;1631185372403;1631185373923;2021-09-09 16:32:52.403;2021-09-09 16:32:53.923;1520;1.520;0h:00m:01s:520ms;structured;true;
63;ENGINE_VALIDATION_RESULT_VALIDATION;0;25;1631185373924;1631185375294;2021-09-09 16:32:53.924;2021-09-09 16:32:55.294;1370;1.370;0h:00m:01s:370ms;structured;false;
64;ENGINE_VALIDATION_RESULT_VALIDATION;0;26;1631185375294;1631185376677;2021-09-09 16:32:55.294;2021-09-09 16:32:56.677;1383;1.383;0h:00m:01s:383ms;structured;false;
65;ENGINE_VALIDATION_RESULT_VALIDATION;0;27;1631185376677;1631185378181;2021-09-09 16:32:56.677;2021-09-09 16:32:58.181;1504;1.504;0h:00m:01s:504ms;unstructured;true;
66;ENGINE_VALIDATION_RESULT_VALIDATION;0;28;1631185378182;1631185379603;2021-09-09 16:32:58.182;2021-09-09 16:32:59.603;1421;1.421;0h:00m:01s:421ms;unstructured;false;
67;ENGINE_VALIDATION_RESULT_VALIDATION;0;29;1631185379605;1631185381118;2021-09-09 16:32:59.605;2021-09-09 16:33:01.118;1513;1.513;0h:00m:01s:513ms;structured;true;
68;ENGINE_VALIDATION_RESULT_VALIDATION;0;30;1631185381118;1631185382489;2021-09-09 16:33:01.118;2021-09-09 16:33:02.489;1371;1.371;0h:00m:01s:371ms;semi-structured;false;
69;CLEAN_DATA;;;1631185382490;1631185385319;2021-09-09 16:33:02.490;2021-09-09 16:33:05.319;2829;2.829;0h:00m:02s:829ms;;true;
70;DATA_GENERATION;;;1631185385323;1631185455127;2021-09-09 16:33:05.323;2021-09-09 16:34:15.127;69804;69.804;0h:01m:09s:804ms;;true;
71;LOAD_TEST;;;1631185455131;1631185955453;2021-09-09 16:34:15.131;2021-09-09 16:42:35.453;500322;500.322;0h:08m:20s:322ms;;true;
72;POWER_TEST;;;1631185955456;1631188931624;2021-09-09 16:42:35.456;2021-09-09 17:32:11.624;2976168;2976.168;0h:49m:36s:168ms;;false;
73;POWER_TEST;0;;1631185955458;1631188931621;2021-09-09 16:42:35.458;2021-09-09 17:32:11.621;2976163;2976.163;0h:49m:36s:163ms;;false;
74;POWER_TEST;0;1;1631185955459;1631186073701;2021-09-09 16:42:35.459;2021-09-09 16:44:33.701;118242;118.242;0h:01m:58s:242ms;structured;true;
75;POWER_TEST;0;2;1631186073702;1631186148656;2021-09-09 16:44:33.702;2021-09-09 16:45:48.656;74954;74.954;0h:01m:14s:954ms;semi-structured;false;
76;POWER_TEST;0;3;1631186148658;1631186221484;2021-09-09 16:45:48.658;2021-09-09 16:47:01.484;72826;72.826;0h:01m:12s:826ms;semi-structured;false;
77;POWER_TEST;0;4;1631186221486;1631186244194;2021-09-09 16:47:01.486;2021-09-09 16:47:24.194;22708;22.708;0h:00m:22s:708ms;semi-structured;false;
78;POWER_TEST;0;5;1631186244196;1631186289092;2021-09-09 16:47:24.196;2021-09-09 16:48:09.092;44896;44.896;0h:00m:44s:896ms;semi-structured;false;
79;POWER_TEST;0;6;1631186289095;1631186439865;2021-09-09 16:48:09.095;2021-09-09 16:50:39.865;150770;150.770;0h:02m:30s:770ms;structured;true;
80;POWER_TEST;0;7;1631186439868;1631186632065;2021-09-09 16:50:39.868;2021-09-09 16:53:52.065;192197;192.197;0h:03m:12s:197ms;structured;true;
81;POWER_TEST;0;8;1631186632067;1631186725724;2021-09-09 16:53:52.067;2021-09-09 16:55:25.724;93657;93.657;0h:01m:33s:657ms;semi-structured;false;
82;POWER_TEST;0;9;1631186725725;1631186781994;2021-09-09 16:55:25.725;2021-09-09 16:56:21.994;56269;56.269;0h:00m:56s:269ms;structured;true;
83;POWER_TEST;0;10;1631186781998;1631186933837;2021-09-09 16:56:21.998;2021-09-09 16:58:53.837;151839;151.839;0h:02m:31s:839ms;unstructured;true;
84;POWER_TEST;0;11;1631186933839;1631187052611;2021-09-09 16:58:53.839;2021-09-09 17:00:52.611;118772;118.772;0h:01m:58s:772ms;structured;true;
85;POWER_TEST;0;12;1631187052613;1631187190037;2021-09-09 17:00:52.613;2021-09-09 17:03:10.037;137424;137.424;0h:02m:17s:424ms;semi-structured;true;
86;POWER_TEST;0;13;1631187190038;1631187335208;2021-09-09 17:03:10.038;2021-09-09 17:05:35.208;145170;145.170;0h:02m:25s:170ms;structured;true;
87;POWER_TEST;0;14;1631187335211;1631187389236;2021-09-09 17:05:35.211;2021-09-09 17:06:29.236;54025;54.025;0h:00m:54s:025ms;structured;true;
88;POWER_TEST;0;15;1631187389237;1631187467361;2021-09-09 17:06:29.237;2021-09-09 17:07:47.361;78124;78.124;0h:01m:18s:124ms;structured;true;
89;POWER_TEST;0;16;1631187467363;1631187565861;2021-09-09 17:07:47.363;2021-09-09 17:09:25.861;98498;98.498;0h:01m:38s:498ms;structured;true;
90;POWER_TEST;0;17;1631187565862;1631187587638;2021-09-09 17:09:25.862;2021-09-09 17:09:47.638;21776;21.776;0h:00m:21s:776ms;structured;false;
91;POWER_TEST;0;18;1631187587639;1631187609109;2021-09-09 17:09:47.639;2021-09-09 17:10:09.109;21470;21.470;0h:00m:21s:470ms;unstructured;false;
92;POWER_TEST;0;19;1631187609111;1631187758102;2021-09-09 17:10:09.111;2021-09-09 17:12:38.102;148991;148.991;0h:02m:28s:991ms;unstructured;true;
93;POWER_TEST;0;20;1631187758103;1631187869225;2021-09-09 17:12:38.103;2021-09-09 17:14:29.225;111122;111.122;0h:01m:51s:122ms;structured;false;
94;POWER_TEST;0;21;1631187869226;1631188081364;2021-09-09 17:14:29.226;2021-09-09 17:18:01.364;212138;212.138;0h:03m:32s:138ms;structured;true;
95;POWER_TEST;0;22;1631188081365;1631188177941;2021-09-09 17:18:01.365;2021-09-09 17:19:37.941;96576;96.576;0h:01m:36s:576ms;structured;true;
96;POWER_TEST;0;23;1631188177944;1631188198489;2021-09-09 17:19:37.944;2021-09-09 17:19:58.489;20545;20.545;0h:00m:20s:545ms;structured;false;
97;POWER_TEST;0;24;1631188198491;1631188364161;2021-09-09 17:19:58.491;2021-09-09 17:22:44.161;165670;165.670;0h:02m:45s:670ms;structured;true;
98;POWER_TEST;0;25;1631188364162;1631188536312;2021-09-09 17:22:44.162;2021-09-09 17:25:36.312;172150;172.150;0h:02m:52s:150ms;structured;false;
99;POWER_TEST;0;26;1631188536313;1631188613188;2021-09-09 17:25:36.313;2021-09-09 17:26:53.188;76875;76.875;0h:01m:16s:875ms;structured;false;
100;POWER_TEST;0;27;1631188613190;1631188671693;2021-09-09 17:26:53.190;2021-09-09 17:27:51.693;58503;58.503;0h:00m:58s:503ms;unstructured;true;
101;POWER_TEST;0;28;1631188671695;1631188736233;2021-09-09 17:27:51.695;2021-09-09 17:28:56.233;64538;64.538;0h:01m:04s:538ms;unstructured;false;
102;POWER_TEST;0;29;1631188736235;1631188851437;2021-09-09 17:28:56.235;2021-09-09 17:30:51.437;115202;115.202;0h:01m:55s:202ms;structured;true;
103;POWER_TEST;0;30;1631188851438;1631188931619;2021-09-09 17:30:51.438;2021-09-09 17:32:11.619;80181;80.181;0h:01m:20s:181ms;semi-structured;false;
104;THROUGHPUT_TEST_1;;;1631188931625;1631191963765;2021-09-09 17:32:11.625;2021-09-09 18:22:43.765;3032140;3032.140;0h:50m:32s:140ms;;false;
105;THROUGHPUT_TEST_1;0;;1631188931650;1631191963763;2021-09-09 17:32:11.650;2021-09-09 18:22:43.763;3032113;3032.113;0h:50m:32s:113ms;;false;
106;THROUGHPUT_TEST_1;0;1;1631190034101;1631190150553;2021-09-09 17:50:34.101;2021-09-09 17:52:30.553;116452;116.452;0h:01m:56s:452ms;structured;true;
107;THROUGHPUT_TEST_1;0;2;1631191328131;1631191403060;2021-09-09 18:12:08.131;2021-09-09 18:13:23.060;74929;74.929;0h:01m:14s:929ms;semi-structured;false;
108;THROUGHPUT_TEST_1;0;3;1631190150554;1631190220309;2021-09-09 17:52:30.554;2021-09-09 17:53:40.309;69755;69.755;0h:01m:09s:755ms;semi-structured;false;
109;THROUGHPUT_TEST_1;0;4;1631190510938;1631190531924;2021-09-09 17:58:30.938;2021-09-09 17:58:51.924;20986;20.986;0h:00m:20s:986ms;semi-structured;false;
110;THROUGHPUT_TEST_1;0;5;1631189741048;1631189841718;2021-09-09 17:45:41.048;2021-09-09 17:47:21.718;100670;100.670;0h:01m:40s:670ms;semi-structured;false;
111;THROUGHPUT_TEST_1;0;6;1631190531926;1631190677748;2021-09-09 17:58:51.926;2021-09-09 18:01:17.748;145822;145.822;0h:02m:25s:822ms;structured;true;
112;THROUGHPUT_TEST_1;0;7;1631191500497;1631191689443;2021-09-09 18:15:00.497;2021-09-09 18:18:09.443;188946;188.946;0h:03m:08s:946ms;structured;true;
113;THROUGHPUT_TEST_1;0;8;1631191121444;1631191213235;2021-09-09 18:08:41.444;2021-09-09 18:10:13.235;91791;91.791;0h:01m:31s:791ms;semi-structured;false;
114;THROUGHPUT_TEST_1;0;9;1631191213237;1631191269898;2021-09-09 18:10:13.237;2021-09-09 18:11:09.898;56661;56.661;0h:00m:56s:661ms;structured;true;
115;THROUGHPUT_TEST_1;0;10;1631190800910;1631190964095;2021-09-09 18:03:20.910;2021-09-09 18:06:04.095;163185;163.185;0h:02m:43s:185ms;unstructured;true;
116;THROUGHPUT_TEST_1;0;11;1631190677750;1631190800903;2021-09-09 18:01:17.750;2021-09-09 18:03:20.903;123153;123.153;0h:02m:03s:153ms;structured;true;
117;THROUGHPUT_TEST_1;0;12;1631190362942;1631190490495;2021-09-09 17:56:02.942;2021-09-09 17:58:10.495;127553;127.553;0h:02m:07s:553ms;semi-structured;true;
118;THROUGHPUT_TEST_1;0;13;1631190220309;1631190362941;2021-09-09 17:53:40.309;2021-09-09 17:56:02.941;142632;142.632;0h:02m:22s:632ms;structured;true;
119;THROUGHPUT_TEST_1;0;14;1631191269901;1631191328127;2021-09-09 18:11:09.901;2021-09-09 18:12:08.127;58226;58.226;0h:00m:58s:226ms;structured;true;
120;THROUGHPUT_TEST_1;0;15;1631188931652;1631189007406;2021-09-09 17:32:11.652;2021-09-09 17:33:27.406;75754;75.754;0h:01m:15s:754ms;structured;true;
121;THROUGHPUT_TEST_1;0;16;1631191867211;1631191963759;2021-09-09 18:21:07.211;2021-09-09 18:22:43.759;96548;96.548;0h:01m:36s:548ms;structured;true;
122;THROUGHPUT_TEST_1;0;17;1631191403064;1631191424898;2021-09-09 18:13:23.064;2021-09-09 18:13:44.898;21834;21.834;0h:00m:21s:834ms;structured;false;
123;THROUGHPUT_TEST_1;0;18;1631190013468;1631190034099;2021-09-09 17:50:13.468;2021-09-09 17:50:34.099;20631;20.631;0h:00m:20s:631ms;unstructured;false;
124;THROUGHPUT_TEST_1;0;19;1631190964098;1631191121440;2021-09-09 18:06:04.098;2021-09-09 18:08:41.440;157342;157.342;0h:02m:37s:342ms;unstructured;true;
125;THROUGHPUT_TEST_1;0;20;1631189461200;1631189570524;2021-09-09 17:41:01.200;2021-09-09 17:42:50.524;109324;109.324;0h:01m:49s:324ms;structured;false;
126;THROUGHPUT_TEST_1;0;21;1631189007407;1631189215102;2021-09-09 17:33:27.407;2021-09-09 17:36:55.102;207695;207.695;0h:03m:27s:695ms;structured;true;
127;THROUGHPUT_TEST_1;0;22;1631189364438;1631189461198;2021-09-09 17:39:24.438;2021-09-09 17:41:01.198;96760;96.760;0h:01m:36s:760ms;structured;true;
128;THROUGHPUT_TEST_1;0;23;1631190490497;1631190510936;2021-09-09 17:58:10.497;2021-09-09 17:58:30.936;20439;20.439;0h:00m:20s:439ms;structured;false;
129;THROUGHPUT_TEST_1;0;24;1631191689447;1631191867207;2021-09-09 18:18:09.447;2021-09-09 18:21:07.207;177760;177.760;0h:02m:57s:760ms;structured;true;
130;THROUGHPUT_TEST_1;0;25;1631189841719;1631190013468;2021-09-09 17:47:21.719;2021-09-09 17:50:13.468;171749;171.749;0h:02m:51s:749ms;structured;false;
131;THROUGHPUT_TEST_1;0;26;1631191424901;1631191500495;2021-09-09 18:13:44.901;2021-09-09 18:15:00.495;75594;75.594;0h:01m:15s:594ms;structured;false;
132;THROUGHPUT_TEST_1;0;27;1631189685702;1631189741047;2021-09-09 17:44:45.702;2021-09-09 17:45:41.047;55345;55.345;0h:00m:55s:345ms;unstructured;true;
133;THROUGHPUT_TEST_1;0;28;1631189297154;1631189364435;2021-09-09 17:38:17.154;2021-09-09 17:39:24.435;67281;67.281;0h:01m:07s:281ms;unstructured;false;
134;THROUGHPUT_TEST_1;0;29;1631189570524;1631189685700;2021-09-09 17:42:50.524;2021-09-09 17:44:45.700;115176;115.176;0h:01m:55s:176ms;structured;true;
135;THROUGHPUT_TEST_1;0;30;1631189215103;1631189297152;2021-09-09 17:36:55.103;2021-09-09 17:38:17.152;82049;82.049;0h:01m:22s:049ms;semi-structured;false;
136;VALIDATE_POWER_TEST;;;1631191963768;1631192008789;2021-09-09 18:22:43.768;2021-09-09 18:23:28.789;45021;45.021;0h:00m:45s:021ms;;false;
137;VALIDATE_POWER_TEST;0;;1631191963770;1631192008789;2021-09-09 18:22:43.770;2021-09-09 18:23:28.789;45019;45.019;0h:00m:45s:019ms;;false;
138;VALIDATE_POWER_TEST;0;1;1631191963771;1631191965449;2021-09-09 18:22:43.771;2021-09-09 18:22:45.449;1678;1.678;0h:00m:01s:678ms;structured;true;
139;VALIDATE_POWER_TEST;0;2;1631191965451;1631191966849;2021-09-09 18:22:45.451;2021-09-09 18:22:46.849;1398;1.398;0h:00m:01s:398ms;semi-structured;false;
140;VALIDATE_POWER_TEST;0;3;1631191966850;1631191968257;2021-09-09 18:22:46.850;2021-09-09 18:22:48.257;1407;1.407;0h:00m:01s:407ms;semi-structured;false;
141;VALIDATE_POWER_TEST;0;4;1631191968259;1631191969666;2021-09-09 18:22:48.259;2021-09-09 18:22:49.666;1407;1.407;0h:00m:01s:407ms;semi-structured;false;
142;VALIDATE_POWER_TEST;0;5;1631191969669;1631191971110;2021-09-09 18:22:49.669;2021-09-09 18:22:51.110;1441;1.441;0h:00m:01s:441ms;semi-structured;false;
143;VALIDATE_POWER_TEST;0;6;1631191971111;1631191972651;2021-09-09 18:22:51.111;2021-09-09 18:22:52.651;1540;1.540;0h:00m:01s:540ms;structured;false;
144;VALIDATE_POWER_TEST;0;7;1631191972654;1631191974194;2021-09-09 18:22:52.654;2021-09-09 18:22:54.194;1540;1.540;0h:00m:01s:540ms;structured;true;
145;VALIDATE_POWER_TEST;0;8;1631191974196;1631191975596;2021-09-09 18:22:54.196;2021-09-09 18:22:55.596;1400;1.400;0h:00m:01s:400ms;semi-structured;false;
146;VALIDATE_POWER_TEST;0;9;1631191975597;1631191977143;2021-09-09 18:22:55.597;2021-09-09 18:22:57.143;1546;1.546;0h:00m:01s:546ms;structured;true;
147;VALIDATE_POWER_TEST;0;10;1631191977145;1631191978942;2021-09-09 18:22:57.145;2021-09-09 18:22:58.942;1797;1.797;0h:00m:01s:797ms;unstructured;true;
148;VALIDATE_POWER_TEST;0;11;1631191978944;1631191980497;2021-09-09 18:22:58.944;2021-09-09 18:23:00.497;1553;1.553;0h:00m:01s:553ms;structured;true;
149;VALIDATE_POWER_TEST;0;12;1631191980499;1631191982052;2021-09-09 18:23:00.499;2021-09-09 18:23:02.052;1553;1.553;0h:00m:01s:553ms;semi-structured;true;
150;VALIDATE_POWER_TEST;0;13;1631191982054;1631191983660;2021-09-09 18:23:02.054;2021-09-09 18:23:03.660;1606;1.606;0h:00m:01s:606ms;structured;false;
